ResponseId,Finished,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,QID45,QID46,QID20,QID21,QID50,QID51,QID52,QID53,QID55,QID56,QID57,QID58,QID70,QID71,QID72,QID73,QID76,QID77,QID78,QID79,QID82,QID83,QID84,QID85,
R_388nEwphxGxpoPf,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,,,,,,,,,,,,,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Somewhat likely,Very urgent,A moderate amount,Only 3 left in stock,Somewhat likely,Moderately urgent,A moderate amount,Only 3 left in stock,
R_5agznpCLpQf6eLu,TRUE,22-25,Female,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Not at all impulsive,Strongly disagree,Somewhat agree,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_7DuKlkKCKM8EVqi,TRUE,22-25,Male,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Neither agree nor disagree,,,,,,,,,,,,,Extremely likely,Extremely Urgent,A great deal,Only 3 left in stock,Somewhat likely,Moderately urgent,A moderate amount,Only 3 left in stock,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,
R_1cqiz4BIEv1ma3Z,TRUE,22-25,Male,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Neither Agree nor Disagree,Somewhat disagree,,,,,,,,,,,,,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,Somewhat unlikely,Moderately urgent,None at all,In stock. Available.,Somewhat likely,Slightly urgent,A little,In stock. Available.,
R_1b19WUvCVgGMZTy,TRUE,18-21,Male,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Somewhat Disagree,Neither agree nor disagree,Somewhat likely,Moderately urgent,None at all,In stock. Available.,Somewhat likely,Very urgent,A moderate amount,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_3EbRiJoj9iKXBuu,TRUE,26+,Male,Graduate,Very price-sensitive,Sometimes (1-2 times a month),Not at all impulsive,Somewhat Disagree,Somewhat agree,Neither likely nor unlikely,Moderately urgent,None at all,In stock. Available.,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_6o1NGszvD4UR0yd,TRUE,22-25,Male,Graduate,Very price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Neither Agree nor Disagree,Somewhat agree,,,,,,,,,,,,,Extremely likely,Slightly urgent,A little,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Slightly urgent,A little,Only 3 left in stock,
R_6eLac78cj87nskx,FALSE,18-21,Male,Undergraduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6JrA2k2Q3NBR4ro,TRUE,18-21,Male,Graduate,Slightly price-sensitive,Always (3+ times a week),Moderately impulsive,Strongly disagree,Strongly agree,Somewhat unlikely,Slightly urgent,None at all,Only 3 left in stock,Somewhat likely,Not urgent at all,None at all,In stock. Available.,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,,,,,,,,,,,,,
R_71gDXwYhCJrTFY2,TRUE,18-21,Female,Graduate,Very price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,Neither likely nor unlikely,Moderately urgent,None at all,In stock. Available.,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_9Kx35lCC5uaPZNI,FALSE,22-25,Female,Graduate,Very price-sensitive,Often ( 1-2 times a week),Not at all impulsive,Neither Agree nor Disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,
R_6e5abLrujxaNg02,FALSE,22-25,Male,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_17vXJE0G81Tfyoc,FALSE,22-25,Male,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4CwETDIEeRN3pYS,FALSE,22-25,Female,Undergraduate,Moderately price-sensitive,Often ( 1-2 times a week),Slightly impulsive,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6Ld86wSobCWVsCa,TRUE,22-25,Female,Graduate,Slightly price-sensitive,Often ( 1-2 times a week),Very impulsive,Somewhat Agree,Somewhat agree,,,,,,,,,,,,,Somewhat unlikely,Slightly urgent,A little,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,Somewhat unlikely,Not urgent at all,A little,In stock. Available.,
R_9j3txYvzmOid8Yb,FALSE,26+,Male,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5GVADiw14MqlV97,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Neither Agree nor Disagree,Somewhat agree,Somewhat likely,Moderately urgent,None at all,In stock. Available.,Somewhat likely,Slightly urgent,None at all,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_724jycmlTNckqKd,TRUE,22-25,Male,Undergraduate,Very price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Somewhat Agree,Somewhat agree,,,,,,,,,,,,,Neither likely nor unlikely,Slightly urgent,A little,Only 3 left in stock,Somewhat likely,Very urgent,A lot,Only 3 left in stock,Somewhat unlikely,Not urgent at all,A great deal,In stock. Available.,
R_7rVGl61e4fsNd4i,FALSE,22-25,Male,Graduate,Slightly price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Neither Agree nor Disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,
R_11v1m7MF8AzwCLq,TRUE,26+,Non-binary / third gender,Graduate,Extremely price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Somewhat Agree,Somewhat disagree,,,,,,,,,,,,,Somewhat likely,Slightly urgent,A moderate amount,Only 3 left in stock,Somewhat likely,Not urgent at all,A lot,Only 3 left in stock,Extremely likely,Slightly urgent,A lot,Only 3 left in stock,
R_1F1RZKyisvTYa2Z,FALSE,22-25,Male,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1mw7mQRRn6vdXhO,TRUE,22-25,Female,Graduate,Slightly price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Agree,Strongly agree,Somewhat likely,Not urgent at all,None at all,In stock. Available.,Somewhat likely,Moderately urgent,A moderate amount,In stock. Available.,Neither likely nor unlikely,Moderately urgent,A little,In stock. Available.,,,,,,,,,,,,,
R_9Oq1Hb2TLfvV2Bg,TRUE,26+,Male,Graduate,Very price-sensitive,Rarely (a few times a year),Slightly impulsive,Somewhat Disagree,Somewhat agree,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_5c2fKgM71yneJVp,TRUE,18-21,Female,Undergraduate,Extremely price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Somewhat agree,,,,,,,,,,,,,Neither likely nor unlikely,Moderately urgent,A little,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_9APR8dXLnGBWR0Z,TRUE,22-25,Male,Undergraduate,Very price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Somewhat Agree,Somewhat agree,,,,,,,,,,,,,Somewhat unlikely,Slightly urgent,A little,Only 3 left in stock,Neither likely nor unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Very urgent,A lot,Only 3 left in stock,
R_1jNCtnm9VfgSVWb,FALSE,22-25,Female,Undergraduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4HRKbemLLfe6BEZ,FALSE,22-25,Female,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2MP1YqAeCfX5YyZ,TRUE,22-25,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Not at all impulsive,Strongly disagree,Somewhat agree,Somewhat unlikely,Moderately urgent,None at all,Only 3 left in stock,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_9qZDtiveXwWiZ64,FALSE,22-25,Male,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4iD2awMX77HKPBs,TRUE,22-25,Non-binary / third gender,Undergraduate,Very price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,Somewhat unlikely,Very urgent,A moderate amount,In stock. Available.,Neither likely nor unlikely,Slightly urgent,A lot,In stock. Available.,Extremely unlikely,Not urgent at all,A great deal,In stock. Available.,,,,,,,,,,,,,
R_8ASn2jq3NGVd4R3,FALSE,22-25,Male,Undergraduate,Moderately price-sensitive,Often ( 1-2 times a week),Slightly impulsive,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4CJcakEZBknDgwD,FALSE,26+,Female,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5HIf3lfPsjJ53WX,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Somewhat Agree,Somewhat disagree,,,,,,,,,,,,,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_1CSVtqadnvs8Xfz,TRUE,22-25,Male,Undergraduate,Very price-sensitive,Rarely (a few times a year),Slightly impulsive,Somewhat Disagree,Somewhat disagree,,,,,,,,,,,,,Somewhat unlikely,Slightly urgent,A moderate amount,Only 3 left in stock,Somewhat likely,Slightly urgent,A moderate amount,Only 3 left in stock,Neither likely nor unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,
R_9mkN8kCxLC1akda,TRUE,22-25,Female,Undergraduate,Slightly price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Agree,Somewhat agree,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Somewhat unlikely,Moderately urgent,A little,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_71HlS9Ko6DlmFvw,TRUE,18-21,Male,Graduate,Slightly price-sensitive,Sometimes (1-2 times a month),Not at all impulsive,Strongly disagree,Strongly disagree,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,Somewhat likely,Moderately urgent,A moderate amount,In stock. Available.,Somewhat likely,Moderately urgent,A moderate amount,In stock. Available.,,,,,,,,,,,,,
R_7r3aLJRrJQDn5yJ,TRUE,18-21,Female,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,,,,,,,,,,,,,Somewhat unlikely,Moderately urgent,A little,Only 3 left in stock,Somewhat likely,Very urgent,A moderate amount,Only 3 left in stock,Somewhat unlikely,Not urgent at all,A lot,Only 3 left in stock,
R_2ia3tux1wGD6zwd,TRUE,18-21,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,Somewhat likely,Very urgent,A moderate amount,Only 3 left in stock,Extremely likely,Extremely Urgent,A great deal,Only 3 left in stock,Neither likely nor unlikely,Moderately urgent,A moderate amount,In stock. Available.,,,,,,,,,,,,,
R_1IubnDc6hlxwmU7,TRUE,18-21,Non-binary / third gender,Undergraduate,Slightly price-sensitive,Often ( 1-2 times a week),Extremely impulsive,Strongly agree,Strongly agree,,,,,,,,,,,,,Neither likely nor unlikely,Very urgent,A moderate amount,Only 3 left in stock,Somewhat likely,Moderately urgent,A lot,Only 3 left in stock,Somewhat likely,Moderately urgent,A lot,Only 3 left in stock,
R_7ibtKdVlAwieRiS,FALSE,18-21,Male,Graduate,Not at all price-sensitive,Never,Not at all impulsive,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,
R_1In5h4ceE5ZqJA4,TRUE,22-25,Male,Graduate,Very price-sensitive,Rarely (a few times a year),Not at all impulsive,Strongly disagree,Somewhat agree,,,,,,,,,,,,,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_3ov6hKppsOJJy2J,TRUE,18-21,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,Somewhat likely,Moderately urgent,A little,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_5CvOKjlNt1Luve6,TRUE,18-21,Male,Undergraduate,Very price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Somewhat Disagree,Somewhat agree,,,,,,,,,,,,,Somewhat unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_3eLSDjkKKXaFWQ2,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,,,,,,,,,,,,,Extremely likely,Moderately urgent,A little,Only 3 left in stock,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_1hWyyEMLKYINnHj,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Disagree,Somewhat agree,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,,,,,,,,,,,,,
R_6j0ea07goMgWa9b,FALSE,22-25,Female,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3HhH4ybQLl4Aopy,TRUE,22-25,Male,Graduate,Very price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Strongly disagree,Somewhat likely,Slightly urgent,A moderate amount,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_8CIExIZNOvwrcc5,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Neither Agree nor Disagree,Strongly disagree,,,,,,,,,,,,,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_6ImwaVOc27c0Qq2,TRUE,22-25,Male,Graduate,Very price-sensitive,Often ( 1-2 times a week),Very impulsive,Strongly agree,Neither agree nor disagree,,,,,,,,,,,,,Neither likely nor unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Slightly urgent,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,
R_2ZVsK5MRz0UxWgh,TRUE,18-21,Non-binary / third gender,Undergraduate,Extremely price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Neither agree nor disagree,,,,,,,,,,,,,Somewhat unlikely,Very urgent,A little,In stock. Available.,Neither likely nor unlikely,Not urgent at all,A little,Only 3 left in stock,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,
R_246OhCvX7Bzwetd,TRUE,18-21,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,Somewhat likely,Slightly urgent,A little,In stock. Available.,Somewhat likely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_2qJopINfj4NvpSd,TRUE,22-25,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Somewhat disagree,Somewhat likely,Very urgent,None at all,In stock. Available.,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,,,,,,,,,,,,,
R_196gauqvxXMN0jv,FALSE,18-21,Male,Undergraduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,
