response_id,condition,treat,age_range,gender,student_status,price_sensitivity_num,purchase_freq_num,impulsive_num,impulse_agree_num,scarcity_agree_num,is_female,is_grad,age_22_25,likelihood,urgency,regret,scarcity_msg,product
R_5QYe0WkAQuDWk5E,control,0,22-25,Male,Graduate,2,2,1,2,2,0,1,1,4,3,2,0,1
R_6cvLdx8OHhwIEAU,treatment,1,22-25,Female,Graduate,2,3,3,4,4,1,1,1,4,2,1,1,1
R_3EnYo2qByLAB1JO,control,0,22-25,Male,Graduate,3,1,1,1,4,0,1,1,2,1,1,0,1
R_2guBSPEaiZC9TvX,treatment,1,22-25,Female,Graduate,2,3,2,3,4,1,1,1,2,3,2,1,1
R_8ypwNeyXrsRSuPi,treatment,1,22-25,Female,Undergraduate,2,2,2,3,2,1,0,1,2,2,1,1,1
R_8VW1sAp7LIrotPj,control,0,22-25,Female,Graduate,2,1,1,2,4,1,1,1,4,1,1,0,1
R_8IWotwlVlHx6ktp,control,0,18-21,Female,Graduate,2,2,2,2,4,1,1,0,2,2,2,0,1
R_8cdbq8QEjLoAjjm,treatment,1,18-21,Male,Undergraduate,3,1,1,2,1,0,0,0,1,1,1,1,1
R_1NrJlhSribcBnwG,treatment,1,22-25,Male,Graduate,3,1,5,4,3,0,1,1,4,4,4,0,1
R_6mJSZCtIRVBIVYl,treatment,1,22-25,Male,Graduate,2,3,3,3,2,0,1,1,4,4,2,1,1
R_5tLN4456AExLnYi,control,0,18-21,Male,Undergraduate,1,2,3,4,4,0,0,0,2,1,1,0,1
R_3349y4V4hq77PAk,control,0,22-25,Male,Graduate,2,3,2,5,3,0,1,1,4,3,1,0,1
R_8mDfuzsDNCGr6Ux,treatment,1,22-25,Female,Graduate,1,3,3,4,4,1,1,1,4,3,2,1,1
R_5CKjGXRd9s9VIHh,treatment,1,22-25,Male,Graduate,3,2,2,3,4,0,1,1,4,2,2,1,1
R_9MLhVxgZfjXHif1,treatment,1,22-25,Male,Graduate,3,2,2,4,2,0,1,1,2,1,1,1,1
R_24912TwY6aSmgoH,treatment,1,22-25,Male,Graduate,2,1,3,3,4,0,1,1,2,1,1,1,1
R_6KCvN3yJuO6Msxl,control,0,18-21,Female,Undergraduate,3,3,2,3,4,1,0,0,4,4,3,0,1
R_3gtiTRYw4S4chWe,control,0,22-25,Male,Undergraduate,2,1,2,3,4,0,0,1,1,1,1,0,1
R_1GNYmV1zBEMX8lu,treatment,1,22-25,Female,Graduate,2,3,2,4,4,1,1,1,5,4,3,1,1
R_13joXZMHRhLzT5S,treatment,1,18-21,Non-binary / third gender,Undergraduate,2,2,2,4,2,0,0,0,4,4,1,1,1
R_7qCJupyNUYpWdyZ,control,0,22-25,Male,Graduate,3,3,4,4,3,0,1,1,2,2,3,0,1
R_7S7VfrNlizOEM0c,treatment,1,22-25,Male,Graduate,3,2,1,1,2,0,1,1,2,1,1,1,1
R_7PF5jsG7y7ruz35,treatment,1,18-21,Male,Undergraduate,4,2,2,2,4,0,0,0,2,3,1,1,1
R_3eWCqCg2QC52Ahm,control,0,22-25,Female,Graduate,2,3,2,3,1,1,1,1,5,4,4,0,1
R_7WYGhEosPn0KRcw,treatment,1,22-25,Male,Graduate,2,2,3,4,1,0,1,1,3,3,2,0,1
R_4D0UlDHs6RjLNxb,control,0,22-25,Female,Graduate,3,2,1,1,3,1,1,1,4,1,1,0,1
R_388nEwphxGxpoPf,treatment,1,22-25,Female,Graduate,2,2,2,2,4,1,1,1,4,3,2,1,1
R_5agznpCLpQf6eLu,control,0,22-25,Female,Undergraduate,2,2,1,1,4,1,0,1,2,2,1,0,1
R_7DuKlkKCKM8EVqi,treatment,1,22-25,Male,Graduate,2,2,3,3,3,0,1,1,5,5,5,1,1
R_1cqiz4BIEv1ma3Z,treatment,1,22-25,Male,Graduate,2,3,2,3,2,0,1,1,3,1,1,0,1
R_1b19WUvCVgGMZTy,control,0,18-21,Male,Graduate,2,3,2,2,3,0,1,0,4,3,1,0,1
R_6o1NGszvD4UR0yd,treatment,1,22-25,Male,Graduate,3,3,3,3,4,0,1,1,5,2,2,1,1
R_6JrA2k2Q3NBR4ro,control,0,18-21,Male,Graduate,1,4,3,1,5,0,1,0,2,2,1,1,1
R_71gDXwYhCJrTFY2,control,0,18-21,Female,Graduate,3,2,2,2,4,1,1,0,3,3,1,0,1
R_6Ld86wSobCWVsCa,treatment,1,22-25,Female,Graduate,1,3,4,4,4,1,1,1,2,2,2,1,1
R_5GVADiw14MqlV97,control,0,22-25,Female,Graduate,2,2,2,3,4,1,1,1,4,3,1,0,1
R_724jycmlTNckqKd,treatment,1,22-25,Male,Undergraduate,3,3,2,4,4,0,0,1,3,2,2,1,1
R_1mw7mQRRn6vdXhO,control,0,22-25,Female,Graduate,1,3,3,4,5,1,1,1,4,1,1,0,1
R_5c2fKgM71yneJVp,treatment,1,18-21,Female,Undergraduate,4,2,3,3,4,1,0,0,3,3,2,1,1
R_9APR8dXLnGBWR0Z,treatment,1,22-25,Male,Undergraduate,3,3,2,4,4,0,0,1,2,2,2,1,1
R_2MP1YqAeCfX5YyZ,control,0,22-25,Male,Undergraduate,2,2,1,1,4,0,0,1,2,3,1,1,1
R_4iD2awMX77HKPBs,control,0,22-25,Non-binary / third gender,Undergraduate,3,2,2,4,4,0,0,1,2,4,3,0,1
R_5HIf3lfPsjJ53WX,treatment,1,22-25,Female,Graduate,2,2,3,4,2,1,1,1,1,1,1,1,1
R_1CSVtqadnvs8Xfz,treatment,1,22-25,Male,Undergraduate,3,1,2,2,2,0,0,1,2,2,3,1,1
R_9mkN8kCxLC1akda,control,0,22-25,Female,Undergraduate,1,3,3,4,4,1,0,1,4,3,2,1,1
R_71HlS9Ko6DlmFvw,control,0,18-21,Male,Graduate,1,2,1,1,1,0,1,0,2,1,1,0,1
R_7r3aLJRrJQDn5yJ,treatment,1,18-21,Female,Undergraduate,2,2,2,4,4,1,0,0,2,3,2,1,1
R_2ia3tux1wGD6zwd,control,0,18-21,Male,Undergraduate,2,2,2,4,4,0,0,0,4,4,3,1,1
R_1IubnDc6hlxwmU7,treatment,1,18-21,Non-binary / third gender,Undergraduate,1,3,5,5,5,0,0,0,3,4,3,1,1
R_1In5h4ceE5ZqJA4,treatment,1,22-25,Male,Graduate,3,1,1,1,4,0,1,1,4,3,2,1,1
R_3ov6hKppsOJJy2J,control,0,18-21,Male,Undergraduate,2,2,2,2,4,0,0,0,4,3,2,0,1
R_5CvOKjlNt1Luve6,treatment,1,18-21,Male,Undergraduate,3,2,3,2,4,0,0,0,2,3,3,1,1
R_3eLSDjkKKXaFWQ2,treatment,1,22-25,Female,Graduate,2,2,2,4,4,1,1,1,5,3,2,1,1
R_1hWyyEMLKYINnHj,control,0,22-25,Female,Graduate,2,3,3,2,4,1,1,1,2,1,1,1,1
R_3HhH4ybQLl4Aopy,control,0,22-25,Male,Graduate,3,2,2,2,1,0,1,1,4,2,3,0,1
R_8CIExIZNOvwrcc5,treatment,1,22-25,Female,Graduate,2,3,3,3,1,1,1,1,3,1,1,1,1
R_6ImwaVOc27c0Qq2,treatment,1,22-25,Male,Graduate,3,3,4,5,3,0,1,1,3,3,3,1,1
R_2ZVsK5MRz0UxWgh,treatment,1,18-21,Non-binary / third gender,Undergraduate,4,2,3,3,3,0,0,0,2,4,2,0,1
R_246OhCvX7Bzwetd,control,0,18-21,Male,Undergraduate,2,2,2,2,4,0,0,0,3,2,1,0,1
R_2qJopINfj4NvpSd,control,0,22-25,Male,Undergraduate,2,2,3,3,2,0,0,1,4,4,1,0,1
R_5QYe0WkAQuDWk5E,control,0,22-25,Male,Graduate,2,2,1,2,2,0,1,1,2,1,1,0,2
R_6cvLdx8OHhwIEAU,treatment,1,22-25,Female,Graduate,2,3,3,4,4,1,1,1,1,1,1,1,2
R_3EnYo2qByLAB1JO,control,0,22-25,Male,Graduate,3,1,1,1,4,0,1,1,1,1,1,0,2
R_2guBSPEaiZC9TvX,treatment,1,22-25,Female,Graduate,2,3,2,3,4,1,1,1,4,2,2,1,2
R_8ypwNeyXrsRSuPi,treatment,1,22-25,Female,Undergraduate,2,2,2,3,2,1,0,1,1,3,3,1,2
R_8VW1sAp7LIrotPj,control,0,22-25,Female,Graduate,2,1,1,2,4,1,1,1,1,1,2,0,2
R_8IWotwlVlHx6ktp,control,0,18-21,Female,Graduate,2,2,2,2,4,1,1,0,2,1,1,0,2
R_8cdbq8QEjLoAjjm,treatment,1,18-21,Male,Undergraduate,3,1,1,2,1,0,0,0,4,2,1,1,2
R_1NrJlhSribcBnwG,treatment,1,22-25,Male,Graduate,3,1,5,4,3,0,1,1,4,4,3,1,2
R_6mJSZCtIRVBIVYl,treatment,1,22-25,Male,Graduate,2,3,3,3,2,0,1,1,4,3,2,1,2
R_5tLN4456AExLnYi,control,0,18-21,Male,Undergraduate,1,2,3,4,4,0,0,0,4,3,2,0,2
R_3349y4V4hq77PAk,control,0,22-25,Male,Graduate,2,3,2,5,3,0,1,1,1,1,1,0,2
R_8mDfuzsDNCGr6Ux,treatment,1,22-25,Female,Graduate,1,3,3,4,4,1,1,1,2,2,2,1,2
R_5CKjGXRd9s9VIHh,treatment,1,22-25,Male,Graduate,3,2,2,3,4,0,1,1,2,2,2,1,2
R_9MLhVxgZfjXHif1,treatment,1,22-25,Male,Graduate,3,2,2,4,2,0,1,1,2,2,1,1,2
R_24912TwY6aSmgoH,treatment,1,22-25,Male,Graduate,2,1,3,3,4,0,1,1,2,1,1,1,2
R_6KCvN3yJuO6Msxl,control,0,18-21,Female,Undergraduate,3,3,2,3,4,1,0,0,1,1,2,0,2
R_3gtiTRYw4S4chWe,control,0,22-25,Male,Undergraduate,2,1,2,3,4,0,0,1,1,1,1,0,2
R_1GNYmV1zBEMX8lu,treatment,1,22-25,Female,Graduate,2,3,2,4,4,1,1,1,3,3,1,1,2
R_13joXZMHRhLzT5S,treatment,1,18-21,Non-binary / third gender,Undergraduate,2,2,2,4,2,0,0,0,2,1,1,1,2
R_7qCJupyNUYpWdyZ,control,0,22-25,Male,Graduate,3,3,4,4,3,0,1,1,1,1,1,0,2
R_7S7VfrNlizOEM0c,treatment,1,22-25,Male,Graduate,3,2,1,1,2,0,1,1,1,1,1,1,2
R_7PF5jsG7y7ruz35,treatment,1,18-21,Male,Undergraduate,4,2,2,2,4,0,0,0,2,3,1,1,2
R_3eWCqCg2QC52Ahm,control,0,22-25,Female,Graduate,2,3,2,3,1,1,1,1,3,3,4,0,2
R_7WYGhEosPn0KRcw,treatment,1,22-25,Male,Graduate,2,2,3,4,1,0,1,1,4,2,3,0,2
R_4D0UlDHs6RjLNxb,control,0,22-25,Female,Graduate,3,2,1,1,3,1,1,1,4,1,1,0,2
R_388nEwphxGxpoPf,treatment,1,22-25,Female,Graduate,2,2,2,2,4,1,1,1,4,4,3,1,2
R_5agznpCLpQf6eLu,control,0,22-25,Female,Undergraduate,2,2,1,1,4,1,0,1,2,2,1,0,2
R_7DuKlkKCKM8EVqi,treatment,1,22-25,Male,Graduate,2,2,3,3,3,0,1,1,4,3,3,1,2
R_1cqiz4BIEv1ma3Z,treatment,1,22-25,Male,Graduate,2,3,2,3,2,0,1,1,2,3,1,0,2
R_1b19WUvCVgGMZTy,control,0,18-21,Male,Graduate,2,3,2,2,3,0,1,0,4,4,3,0,2
R_6o1NGszvD4UR0yd,treatment,1,22-25,Male,Graduate,3,3,3,3,4,0,1,1,2,1,1,1,2
R_6JrA2k2Q3NBR4ro,control,0,18-21,Male,Graduate,1,4,3,1,5,0,1,0,4,1,1,0,2
R_71gDXwYhCJrTFY2,control,0,18-21,Female,Graduate,3,2,2,2,4,1,1,0,2,2,1,0,2
R_6Ld86wSobCWVsCa,treatment,1,22-25,Female,Graduate,1,3,4,4,4,1,1,1,3,1,1,0,2
R_5GVADiw14MqlV97,control,0,22-25,Female,Graduate,2,2,2,3,4,1,1,1,4,2,1,0,2
R_724jycmlTNckqKd,treatment,1,22-25,Male,Undergraduate,3,3,2,4,4,0,0,1,4,4,4,1,2
R_1mw7mQRRn6vdXhO,control,0,22-25,Female,Graduate,1,3,3,4,5,1,1,1,4,3,3,0,2
R_5c2fKgM71yneJVp,treatment,1,18-21,Female,Undergraduate,4,2,3,3,4,1,0,0,2,1,1,1,2
R_9APR8dXLnGBWR0Z,treatment,1,22-25,Male,Undergraduate,3,3,2,4,4,0,0,1,3,3,3,1,2
R_2MP1YqAeCfX5YyZ,control,0,22-25,Male,Undergraduate,2,2,1,1,4,0,0,1,3,2,1,0,2
R_4iD2awMX77HKPBs,control,0,22-25,Non-binary / third gender,Undergraduate,3,2,2,4,4,0,0,1,3,2,4,0,2
R_5HIf3lfPsjJ53WX,treatment,1,22-25,Female,Graduate,2,2,3,4,2,1,1,1,1,1,1,1,2
R_1CSVtqadnvs8Xfz,treatment,1,22-25,Male,Undergraduate,3,1,2,2,2,0,0,1,4,2,3,1,2
R_9mkN8kCxLC1akda,control,0,22-25,Female,Undergraduate,1,3,3,4,4,1,0,1,2,3,2,0,2
R_71HlS9Ko6DlmFvw,control,0,18-21,Male,Graduate,1,2,1,1,1,0,1,0,4,3,3,0,2
R_7r3aLJRrJQDn5yJ,treatment,1,18-21,Female,Undergraduate,2,2,2,4,4,1,0,0,4,4,3,1,2
R_2ia3tux1wGD6zwd,control,0,18-21,Male,Undergraduate,2,2,2,4,4,0,0,0,5,5,5,1,2
R_1IubnDc6hlxwmU7,treatment,1,18-21,Non-binary / third gender,Undergraduate,1,3,5,5,5,0,0,0,4,3,4,1,2
R_1In5h4ceE5ZqJA4,treatment,1,22-25,Male,Graduate,3,1,1,1,4,0,1,1,3,1,1,1,2
R_3ov6hKppsOJJy2J,control,0,18-21,Male,Undergraduate,2,2,2,2,4,0,0,0,1,1,1,0,2
R_5CvOKjlNt1Luve6,treatment,1,18-21,Male,Undergraduate,3,2,3,2,4,0,0,0,1,1,1,1,2
R_3eLSDjkKKXaFWQ2,treatment,1,22-25,Female,Graduate,2,2,2,4,4,1,1,1,4,3,2,1,2
R_1hWyyEMLKYINnHj,control,0,22-25,Female,Graduate,2,3,3,2,4,1,1,1,2,1,1,1,2
R_3HhH4ybQLl4Aopy,control,0,22-25,Male,Graduate,3,2,2,2,1,0,1,1,2,1,1,0,2
R_8CIExIZNOvwrcc5,treatment,1,22-25,Female,Graduate,2,3,3,3,1,1,1,1,3,1,1,1,2
R_6ImwaVOc27c0Qq2,treatment,1,22-25,Male,Graduate,3,3,4,5,3,0,1,1,1,2,1,1,2
R_2ZVsK5MRz0UxWgh,treatment,1,18-21,Non-binary / third gender,Undergraduate,4,2,3,3,3,0,0,0,3,1,2,1,2
R_246OhCvX7Bzwetd,control,0,18-21,Male,Undergraduate,2,2,2,2,4,0,0,0,4,2,2,0,2
R_2qJopINfj4NvpSd,control,0,22-25,Male,Undergraduate,2,2,3,3,2,0,0,1,2,2,1,0,2
R_5QYe0WkAQuDWk5E,control,0,22-25,Male,Graduate,2,2,1,2,2,0,1,1,2,1,1,0,3
R_6cvLdx8OHhwIEAU,treatment,1,22-25,Female,Graduate,2,3,3,4,4,1,1,1,1,1,1,1,3
R_3EnYo2qByLAB1JO,control,0,22-25,Male,Graduate,3,1,1,1,4,0,1,1,2,1,1,0,3
R_2guBSPEaiZC9TvX,treatment,1,22-25,Female,Graduate,2,3,2,3,4,1,1,1,2,1,1,1,3
R_8ypwNeyXrsRSuPi,treatment,1,22-25,Female,Undergraduate,2,2,2,3,2,1,0,1,3,3,2,1,3
R_8VW1sAp7LIrotPj,control,0,22-25,Female,Graduate,2,1,1,2,4,1,1,1,1,1,1,0,3
R_8IWotwlVlHx6ktp,control,0,18-21,Female,Graduate,2,2,2,2,4,1,1,0,1,1,1,0,3
R_8cdbq8QEjLoAjjm,treatment,1,18-21,Male,Undergraduate,3,1,1,2,1,0,0,0,1,1,1,1,3
R_1NrJlhSribcBnwG,treatment,1,22-25,Male,Graduate,3,1,5,4,3,0,1,1,3,4,5,0,3
R_6mJSZCtIRVBIVYl,treatment,1,22-25,Male,Graduate,2,3,3,3,2,0,1,1,2,1,1,1,3
R_5tLN4456AExLnYi,control,0,18-21,Male,Undergraduate,1,2,3,4,4,0,0,0,3,3,3,0,3
R_3349y4V4hq77PAk,control,0,22-25,Male,Graduate,2,3,2,5,3,0,1,1,2,1,1,0,3
R_8mDfuzsDNCGr6Ux,treatment,1,22-25,Female,Graduate,1,3,3,4,4,1,1,1,1,1,1,1,3
R_5CKjGXRd9s9VIHh,treatment,1,22-25,Male,Graduate,3,2,2,3,4,0,1,1,1,1,1,1,3
R_9MLhVxgZfjXHif1,treatment,1,22-25,Male,Graduate,3,2,2,4,2,0,1,1,1,1,1,1,3
R_24912TwY6aSmgoH,treatment,1,22-25,Male,Graduate,2,1,3,3,4,0,1,1,2,1,1,1,3
R_6KCvN3yJuO6Msxl,control,0,18-21,Female,Undergraduate,3,3,2,3,4,1,0,0,1,1,1,0,3
R_3gtiTRYw4S4chWe,control,0,22-25,Male,Undergraduate,2,1,2,3,4,0,0,1,1,1,1,0,3
R_1GNYmV1zBEMX8lu,treatment,1,22-25,Female,Graduate,2,3,2,4,4,1,1,1,1,3,1,1,3
R_13joXZMHRhLzT5S,treatment,1,18-21,Non-binary / third gender,Undergraduate,2,2,2,4,2,0,0,0,1,1,1,1,3
R_7qCJupyNUYpWdyZ,control,0,22-25,Male,Graduate,3,3,4,4,3,0,1,1,1,1,1,0,3
R_7S7VfrNlizOEM0c,treatment,1,22-25,Male,Graduate,3,2,1,1,2,0,1,1,4,2,1,1,3
R_7PF5jsG7y7ruz35,treatment,1,18-21,Male,Undergraduate,4,2,2,2,4,0,0,0,2,3,1,1,3
R_3eWCqCg2QC52Ahm,control,0,22-25,Female,Graduate,2,3,2,3,1,1,1,1,3,3,3,0,3
R_7WYGhEosPn0KRcw,treatment,1,22-25,Male,Graduate,2,2,3,4,1,0,1,1,1,1,1,1,3
R_4D0UlDHs6RjLNxb,control,0,22-25,Female,Graduate,3,2,1,1,3,1,1,1,4,1,2,0,3
R_388nEwphxGxpoPf,treatment,1,22-25,Female,Graduate,2,2,2,2,4,1,1,1,4,3,3,1,3
R_5agznpCLpQf6eLu,control,0,22-25,Female,Undergraduate,2,2,1,1,4,1,0,1,1,1,1,0,3
R_7DuKlkKCKM8EVqi,treatment,1,22-25,Male,Graduate,2,2,3,3,3,0,1,1,3,2,1,0,3
R_1cqiz4BIEv1ma3Z,treatment,1,22-25,Male,Graduate,2,3,2,3,2,0,1,1,4,2,2,0,3
R_1b19WUvCVgGMZTy,control,0,18-21,Male,Graduate,2,3,2,2,3,0,1,0,1,1,1,0,3
R_6o1NGszvD4UR0yd,treatment,1,22-25,Male,Graduate,3,3,3,3,4,0,1,1,3,2,2,1,3
R_6JrA2k2Q3NBR4ro,control,0,18-21,Male,Graduate,1,4,3,1,5,0,1,0,2,2,1,0,3
R_71gDXwYhCJrTFY2,control,0,18-21,Female,Graduate,3,2,2,2,4,1,1,0,1,1,1,0,3
R_6Ld86wSobCWVsCa,treatment,1,22-25,Female,Graduate,1,3,4,4,4,1,1,1,2,1,2,0,3
R_5GVADiw14MqlV97,control,0,22-25,Female,Graduate,2,2,2,3,4,1,1,1,2,1,1,0,3
R_724jycmlTNckqKd,treatment,1,22-25,Male,Undergraduate,3,3,2,4,4,0,0,1,2,1,5,0,3
R_1mw7mQRRn6vdXhO,control,0,22-25,Female,Graduate,1,3,3,4,5,1,1,1,3,3,2,0,3
R_5c2fKgM71yneJVp,treatment,1,18-21,Female,Undergraduate,4,2,3,3,4,1,0,0,1,1,1,1,3
R_9APR8dXLnGBWR0Z,treatment,1,22-25,Male,Undergraduate,3,3,2,4,4,0,0,1,1,4,4,1,3
R_2MP1YqAeCfX5YyZ,control,0,22-25,Male,Undergraduate,2,2,1,1,4,0,0,1,1,1,1,0,3
R_4iD2awMX77HKPBs,control,0,22-25,Non-binary / third gender,Undergraduate,3,2,2,4,4,0,0,1,1,1,5,0,3
R_5HIf3lfPsjJ53WX,treatment,1,22-25,Female,Graduate,2,2,3,4,2,1,1,1,1,1,1,1,3
R_1CSVtqadnvs8Xfz,treatment,1,22-25,Male,Undergraduate,3,1,2,2,2,0,0,1,3,3,3,1,3
R_9mkN8kCxLC1akda,control,0,22-25,Female,Undergraduate,1,3,3,4,4,1,0,1,2,1,1,0,3
R_71HlS9Ko6DlmFvw,control,0,18-21,Male,Graduate,1,2,1,1,1,0,1,0,4,3,3,0,3
R_7r3aLJRrJQDn5yJ,treatment,1,18-21,Female,Undergraduate,2,2,2,4,4,1,0,0,2,1,4,1,3
R_2ia3tux1wGD6zwd,control,0,18-21,Male,Undergraduate,2,2,2,4,4,0,0,0,3,3,3,0,3
R_1IubnDc6hlxwmU7,treatment,1,18-21,Non-binary / third gender,Undergraduate,1,3,5,5,5,0,0,0,4,3,4,1,3
R_1In5h4ceE5ZqJA4,treatment,1,22-25,Male,Graduate,3,1,1,1,4,0,1,1,2,1,1,1,3
R_3ov6hKppsOJJy2J,control,0,18-21,Male,Undergraduate,2,2,2,2,4,0,0,0,1,1,1,0,3
R_5CvOKjlNt1Luve6,treatment,1,18-21,Male,Undergraduate,3,2,3,2,4,0,0,0,2,1,1,1,3
R_3eLSDjkKKXaFWQ2,treatment,1,22-25,Female,Graduate,2,2,2,4,4,1,1,1,2,1,1,1,3
R_1hWyyEMLKYINnHj,control,0,22-25,Female,Graduate,2,3,3,2,4,1,1,1,3,1,1,1,3
R_3HhH4ybQLl4Aopy,control,0,22-25,Male,Graduate,3,2,2,2,1,0,1,1,1,1,1,0,3
R_8CIExIZNOvwrcc5,treatment,1,22-25,Female,Graduate,2,3,3,3,1,1,1,1,3,1,1,1,3
R_6ImwaVOc27c0Qq2,treatment,1,22-25,Male,Graduate,3,3,4,5,3,0,1,1,1,1,1,1,3
R_2ZVsK5MRz0UxWgh,treatment,1,18-21,Non-binary / third gender,Undergraduate,4,2,3,3,3,0,0,0,3,2,1,0,3
R_246OhCvX7Bzwetd,control,0,18-21,Male,Undergraduate,2,2,2,2,4,0,0,0,4,1,1,0,3
R_2qJopINfj4NvpSd,control,0,22-25,Male,Undergraduate,2,2,3,3,2,0,0,1,1,1,1,0,3
