response_id,Finished,age_range,gender,student_status,price_sensitivity,online_purchase_freq,impulsive_rating,impulse_agreement,scarcity_agreement,price_sensitivity_num,purchase_freq_num,impulsive_num,impulse_agree_num,scarcity_agree_num,is_female,is_grad,age_22_25,condition,treat,p1_likelihood,p1_urgency,p1_regret,p1_avail_msg,p2_likelihood,p2_urgency,p2_regret,p2_avail_msg,p3_likelihood,p3_urgency,p3_regret,p3_avail_msg,p1_likelihood_num,p1_urgency_num,p1_regret_num,p1_scarcity_msg,p2_likelihood_num,p2_urgency_num,p2_regret_num,p2_scarcity_msg,p3_likelihood_num,p3_urgency_num,p3_regret_num,p3_scarcity_msg,avg_likelihood,avg_urgency,avg_regret
R_1cqiz4BIEv1ma3Z,TRUE,22-25,Male,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Neither Agree nor Disagree,Somewhat disagree,2,3,2,3,2,0,1,1,treatment,1,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,Somewhat unlikely,Moderately urgent,None at all,In stock. Available.,Somewhat likely,Slightly urgent,A little,In stock. Available.,3,1,1,0,2,3,1,0,4,2,2,0,3.0,2.0,1.3333333333333333
R_1b19WUvCVgGMZTy,TRUE,18-21,Male,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Somewhat Disagree,Neither agree nor disagree,2,3,2,2,3,0,1,0,control,0,Somewhat likely,Moderately urgent,None at all,In stock. Available.,Somewhat likely,Very urgent,A moderate amount,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,4,3,1,0,4,4,3,0,1,1,1,0,3.0,2.6666666666666665,1.6666666666666667
R_6o1NGszvD4UR0yd,TRUE,22-25,Male,Graduate,Very price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Neither Agree nor Disagree,Somewhat agree,3,3,3,3,4,0,1,1,treatment,1,Extremely likely,Slightly urgent,A little,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Slightly urgent,A little,Only 3 left in stock,5,2,2,1,2,1,1,1,3,2,2,1,3.3333333333333335,1.6666666666666667,1.6666666666666667
R_6JrA2k2Q3NBR4ro,TRUE,18-21,Male,Graduate,Slightly price-sensitive,Always (3+ times a week),Moderately impulsive,Strongly disagree,Strongly agree,1,4,3,1,5,0,1,0,control,0,Somewhat unlikely,Slightly urgent,None at all,Only 3 left in stock,Somewhat likely,Not urgent at all,None at all,In stock. Available.,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,2,2,1,1,4,1,1,0,2,2,1,0,2.6666666666666665,1.6666666666666667,1.0
R_71gDXwYhCJrTFY2,TRUE,18-21,Female,Graduate,Very price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,3,2,2,2,4,1,1,0,control,0,Neither likely nor unlikely,Moderately urgent,None at all,In stock. Available.,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,3,3,1,0,2,2,1,0,1,1,1,0,2.0,2.0,1.0
R_6Ld86wSobCWVsCa,TRUE,22-25,Female,Graduate,Slightly price-sensitive,Often ( 1-2 times a week),Very impulsive,Somewhat Agree,Somewhat agree,1,3,4,4,4,1,1,1,treatment,1,Somewhat unlikely,Slightly urgent,A little,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,In stock. Available.,Somewhat unlikely,Not urgent at all,A little,In stock. Available.,2,2,2,1,3,1,1,0,2,1,2,0,2.3333333333333335,1.3333333333333333,1.6666666666666667
R_5GVADiw14MqlV97,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Neither Agree nor Disagree,Somewhat agree,2,2,2,3,4,1,1,1,control,0,Somewhat likely,Moderately urgent,None at all,In stock. Available.,Somewhat likely,Slightly urgent,None at all,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,4,3,1,0,4,2,1,0,2,1,1,0,3.3333333333333335,2.0,1.0
R_724jycmlTNckqKd,TRUE,22-25,Male,Undergraduate,Very price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Somewhat Agree,Somewhat agree,3,3,2,4,4,0,0,1,treatment,1,Neither likely nor unlikely,Slightly urgent,A little,Only 3 left in stock,Somewhat likely,Very urgent,A lot,Only 3 left in stock,Somewhat unlikely,Not urgent at all,A great deal,In stock. Available.,3,2,2,1,4,4,4,1,2,1,5,0,3.0,2.3333333333333335,3.6666666666666665
R_1mw7mQRRn6vdXhO,TRUE,22-25,Female,Graduate,Slightly price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Agree,Strongly agree,1,3,3,4,5,1,1,1,control,0,Somewhat likely,Not urgent at all,None at all,In stock. Available.,Somewhat likely,Moderately urgent,A moderate amount,In stock. Available.,Neither likely nor unlikely,Moderately urgent,A little,In stock. Available.,4,1,1,0,4,3,3,0,3,3,2,0,3.6666666666666665,2.3333333333333335,2.0
R_5c2fKgM71yneJVp,TRUE,18-21,Female,Undergraduate,Extremely price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Somewhat agree,4,2,3,3,4,1,0,0,treatment,1,Neither likely nor unlikely,Moderately urgent,A little,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,3,3,2,1,2,1,1,1,1,1,1,1,2.0,1.6666666666666667,1.3333333333333333
R_9APR8dXLnGBWR0Z,TRUE,22-25,Male,Undergraduate,Very price-sensitive,Often ( 1-2 times a week),Slightly impulsive,Somewhat Agree,Somewhat agree,3,3,2,4,4,0,0,1,treatment,1,Somewhat unlikely,Slightly urgent,A little,Only 3 left in stock,Neither likely nor unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Very urgent,A lot,Only 3 left in stock,2,2,2,1,3,3,3,1,1,4,4,1,2.0,3.0,3.0
R_2MP1YqAeCfX5YyZ,TRUE,22-25,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Not at all impulsive,Strongly disagree,Somewhat agree,2,2,1,1,4,0,0,1,control,0,Somewhat unlikely,Moderately urgent,None at all,Only 3 left in stock,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,2,3,1,1,3,2,1,0,1,1,1,0,2.0,2.0,1.0
R_4iD2awMX77HKPBs,TRUE,22-25,Non-binary / third gender,Undergraduate,Very price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,3,2,2,4,4,0,0,1,control,0,Somewhat unlikely,Very urgent,A moderate amount,In stock. Available.,Neither likely nor unlikely,Slightly urgent,A lot,In stock. Available.,Extremely unlikely,Not urgent at all,A great deal,In stock. Available.,2,4,3,0,3,2,4,0,1,1,5,0,2.0,2.3333333333333335,4.0
R_5HIf3lfPsjJ53WX,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Somewhat Agree,Somewhat disagree,2,2,3,4,2,1,1,1,treatment,1,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
R_1CSVtqadnvs8Xfz,TRUE,22-25,Male,Undergraduate,Very price-sensitive,Rarely (a few times a year),Slightly impulsive,Somewhat Disagree,Somewhat disagree,3,1,2,2,2,0,0,1,treatment,1,Somewhat unlikely,Slightly urgent,A moderate amount,Only 3 left in stock,Somewhat likely,Slightly urgent,A moderate amount,Only 3 left in stock,Neither likely nor unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,2,2,3,1,4,2,3,1,3,3,3,1,3.0,2.3333333333333335,3.0
R_9mkN8kCxLC1akda,TRUE,22-25,Female,Undergraduate,Slightly price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Agree,Somewhat agree,1,3,3,4,4,1,0,1,control,0,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Somewhat unlikely,Moderately urgent,A little,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,4,3,2,1,2,3,2,0,2,1,1,0,2.6666666666666665,2.3333333333333335,1.6666666666666667
R_71HlS9Ko6DlmFvw,TRUE,18-21,Male,Graduate,Slightly price-sensitive,Sometimes (1-2 times a month),Not at all impulsive,Strongly disagree,Strongly disagree,1,2,1,1,1,0,1,0,control,0,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,Somewhat likely,Moderately urgent,A moderate amount,In stock. Available.,Somewhat likely,Moderately urgent,A moderate amount,In stock. Available.,2,1,1,0,4,3,3,0,4,3,3,0,3.3333333333333335,2.3333333333333335,2.3333333333333335
R_7r3aLJRrJQDn5yJ,TRUE,18-21,Female,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,2,2,2,4,4,1,0,0,treatment,1,Somewhat unlikely,Moderately urgent,A little,Only 3 left in stock,Somewhat likely,Very urgent,A moderate amount,Only 3 left in stock,Somewhat unlikely,Not urgent at all,A lot,Only 3 left in stock,2,3,2,1,4,4,3,1,2,1,4,1,2.6666666666666665,2.6666666666666665,3.0
R_2ia3tux1wGD6zwd,TRUE,18-21,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,2,2,2,4,4,0,0,0,control,0,Somewhat likely,Very urgent,A moderate amount,Only 3 left in stock,Extremely likely,Extremely Urgent,A great deal,Only 3 left in stock,Neither likely nor unlikely,Moderately urgent,A moderate amount,In stock. Available.,4,4,3,1,5,5,5,1,3,3,3,0,4.0,4.0,3.6666666666666665
R_1IubnDc6hlxwmU7,TRUE,18-21,Non-binary / third gender,Undergraduate,Slightly price-sensitive,Often ( 1-2 times a week),Extremely impulsive,Strongly agree,Strongly agree,1,3,5,5,5,0,0,0,treatment,1,Neither likely nor unlikely,Very urgent,A moderate amount,Only 3 left in stock,Somewhat likely,Moderately urgent,A lot,Only 3 left in stock,Somewhat likely,Moderately urgent,A lot,Only 3 left in stock,3,4,3,1,4,3,4,1,4,3,4,1,3.6666666666666665,3.3333333333333335,3.6666666666666665
R_1In5h4ceE5ZqJA4,TRUE,22-25,Male,Graduate,Very price-sensitive,Rarely (a few times a year),Not at all impulsive,Strongly disagree,Somewhat agree,3,1,1,1,4,0,1,1,treatment,1,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,4,3,2,1,3,1,1,1,2,1,1,1,3.0,1.6666666666666667,1.3333333333333333
R_3ov6hKppsOJJy2J,TRUE,18-21,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,2,2,2,2,4,0,0,0,control,0,Somewhat likely,Moderately urgent,A little,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,4,3,2,0,1,1,1,0,1,1,1,0,2.0,1.6666666666666667,1.3333333333333333
R_5CvOKjlNt1Luve6,TRUE,18-21,Male,Undergraduate,Very price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Somewhat Disagree,Somewhat agree,3,2,3,2,4,0,0,0,treatment,1,Somewhat unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,2,3,3,1,1,1,1,1,2,1,1,1,1.6666666666666667,1.6666666666666667,1.6666666666666667
R_3eLSDjkKKXaFWQ2,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Agree,Somewhat agree,2,2,2,4,4,1,1,1,treatment,1,Extremely likely,Moderately urgent,A little,Only 3 left in stock,Somewhat likely,Moderately urgent,A little,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,5,3,2,1,4,3,2,1,2,1,1,1,3.6666666666666665,2.3333333333333335,1.6666666666666667
R_1hWyyEMLKYINnHj,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Somewhat Disagree,Somewhat agree,2,3,3,2,4,1,1,1,control,0,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Somewhat unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,2,1,1,1,2,1,1,1,3,1,1,1,2.3333333333333335,1.0,1.0
R_3HhH4ybQLl4Aopy,TRUE,22-25,Male,Graduate,Very price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Strongly disagree,3,2,2,2,1,0,1,1,control,0,Somewhat likely,Slightly urgent,A moderate amount,In stock. Available.,Somewhat unlikely,Not urgent at all,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,4,2,3,0,2,1,1,0,1,1,1,0,2.3333333333333335,1.3333333333333333,1.6666666666666667
R_8CIExIZNOvwrcc5,TRUE,22-25,Female,Graduate,Moderately price-sensitive,Often ( 1-2 times a week),Moderately impulsive,Neither Agree nor Disagree,Strongly disagree,2,3,3,3,1,1,1,1,treatment,1,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,Neither likely nor unlikely,Not urgent at all,None at all,Only 3 left in stock,3,1,1,1,3,1,1,1,3,1,1,1,3.0,1.0,1.0
R_6ImwaVOc27c0Qq2,TRUE,22-25,Male,Graduate,Very price-sensitive,Often ( 1-2 times a week),Very impulsive,Strongly agree,Neither agree nor disagree,3,3,4,5,3,0,1,1,treatment,1,Neither likely nor unlikely,Moderately urgent,A moderate amount,Only 3 left in stock,Extremely unlikely,Slightly urgent,None at all,Only 3 left in stock,Extremely unlikely,Not urgent at all,None at all,Only 3 left in stock,3,3,3,1,1,2,1,1,1,1,1,1,1.6666666666666667,2.0,1.6666666666666667
R_2ZVsK5MRz0UxWgh,TRUE,18-21,Non-binary / third gender,Undergraduate,Extremely price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Neither agree nor disagree,4,2,3,3,3,0,0,0,treatment,1,Somewhat unlikely,Very urgent,A little,In stock. Available.,Neither likely nor unlikely,Not urgent at all,A little,Only 3 left in stock,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,2,4,2,0,3,1,2,1,3,2,1,0,2.6666666666666665,2.3333333333333335,1.6666666666666667
R_246OhCvX7Bzwetd,TRUE,18-21,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Slightly impulsive,Somewhat Disagree,Somewhat agree,2,2,2,2,4,0,0,0,control,0,Neither likely nor unlikely,Slightly urgent,None at all,In stock. Available.,Somewhat likely,Slightly urgent,A little,In stock. Available.,Somewhat likely,Not urgent at all,None at all,In stock. Available.,3,2,1,0,4,2,2,0,4,1,1,0,3.6666666666666665,1.6666666666666667,1.3333333333333333
R_2qJopINfj4NvpSd,TRUE,22-25,Male,Undergraduate,Moderately price-sensitive,Sometimes (1-2 times a month),Moderately impulsive,Neither Agree nor Disagree,Somewhat disagree,2,2,3,3,2,0,0,1,control,0,Somewhat likely,Very urgent,None at all,In stock. Available.,Somewhat unlikely,Slightly urgent,None at all,In stock. Available.,Extremely unlikely,Not urgent at all,None at all,In stock. Available.,4,4,1,0,2,2,1,0,1,1,1,0,2.3333333333333335,2.3333333333333335,1.0
